points,price,size,psm,distance,floor,location,found_location,built,renewed,url
25.050564339804566,105000.0,28.8,3645.833333333333,1.2798645584469042,3,LJ. BEŽIGRAD,"Bicike(LJ), Vilharjeva cesta, Podhod Bežigrajska vrata, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1973,,https://www.nepremicnine.net/oglasi-prodaja/lj-bezigrad-stanovanje_6226473/
24.63841547224456,129000.0,81.7,1578.9473684210525,6.48811361999464,1,ČRNUČE,"Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1803,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-stanovanje_6195512/
24.517056454087374,105000.0,34.0,3088.235294117647,2.355906451019031,3,"KODELJEVO, BLIŽINA CENTRA","Kodeljevo, Moste, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1104, Slovenija",1964,,https://www.nepremicnine.net/oglasi-prodaja/kodeljevo-blizina-centra-stanovanje_6232112/
23.87723100647123,130000.0,33.46,3885.2361028093246,1.2798645584469042,,LJ. BEŽIGRAD,"Bicike(LJ), Vilharjeva cesta, Podhod Bežigrajska vrata, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1991,,https://www.nepremicnine.net/oglasi-prodaja/lj-bezigrad-stanovanje_6233866/
23.36285473280331,118000.0,44.0,2681.818181818182,4.292914864127206,2,LJ. VIČ,"Mestna občina Lj., 2a, Pot do šole, Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1973,,https://www.nepremicnine.net/oglasi-prodaja/lj-vic-stanovanje_6233229/
22.850389787420706,110000.0,34.0,3235.294117647059,2.355906451019031,3,KODELJEVO,"Kodeljevo, Moste, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1104, Slovenija",1964,,https://www.nepremicnine.net/oglasi-prodaja/kodeljevo-stanovanje_6218934/
22.484997810435324,55000.0,21.5,2558.139534883721,4.476933858828856,7,"DRAVLJE, CELOVŠKA C. 264, LIPA","Lipa, Celovška cesta, Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1001, Slovenija",1983,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-celovska-c-264-lipa-stanovanje_6209055/
22.293425549301148,121500.0,39.52,3074.392712550607,4.294377868167725,1,DOLGI MOST,"Dolgi Most, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",2006,,https://www.nepremicnine.net/oglasi-prodaja/dolgi-most-stanovanje_6208222/
22.013017649786853,90000.0,31.6,2848.1012658227846,4.147542430717822,3,"DRAVLJE, PLEŠIČEVA ULICA","Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1981,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-plesiceva-ulica-stanovanje_6172485/
21.81047744491284,93000.0,30.18,3081.5109343936383,3.8153520798875853,4,"FUŽINE, BRODARJEV TRG 14","Outdoor Fitness & Fun Fužine, Brodarjev trg, Kodeljevo, Štepanjsko naselje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1987,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-brodarjev-trg-14-stanovanje_6234074/
